ano,mes,dia,Acidentes
2020,11,5,180
2020,11,6,152
2020,11,7,221
2020,11,8,217
2020,11,9,193
2020,11,10,154
2020,11,11,182
2020,11,12,174
2020,11,13,229
2020,11,14,256
2020,11,15,208
2020,11,16,186
2020,11,17,160
2020,11,18,167
2020,11,19,168
2020,11,20,204
2020,11,21,217
2020,11,22,223
2020,11,23,177
2020,11,24,150
2020,11,25,170
2020,11,26,150
2020,11,27,222
2020,11,28,216
2020,11,29,215
2020,11,30,163
2020,12,1,154
2020,12,2,142
2020,12,3,161
2020,12,4,200
2020,12,5,274
2020,12,6,237
2020,12,7,201
2020,12,8,182
2020,12,9,157
2020,12,10,182
2020,12,11,213
2020,12,12,244
2020,12,13,270
2020,12,14,155
2020,12,15,165
2020,12,16,196
2020,12,17,164
2020,12,18,186
2020,12,19,286
2020,12,20,261
2020,12,21,206
2020,12,22,196
2020,12,23,234
2020,12,24,252
2020,12,25,190
2020,12,26,162
2020,12,27,177
2020,12,28,165
2020,12,29,142
2020,12,30,168
2020,12,31,176
2021,1,1,182
2021,1,2,176
2021,1,3,217
2021,1,4,140
2021,1,5,132
2021,1,6,158
2021,1,7,155
2021,1,8,169
2021,1,9,216
2021,1,10,235
2021,1,11,189
2021,1,12,163
2021,1,13,148
2021,1,14,150
2021,1,15,217
2021,1,16,192
2021,1,17,180
2021,1,18,154
2021,1,19,136
2021,1,20,172
2021,1,21,128
2021,1,22,157
2021,1,23,178
2021,1,24,200
2021,1,25,186
2021,1,26,145
2021,1,27,134
2021,1,28,151
2021,1,29,192
2021,1,30,233
2021,1,31,198
2021,2,1,156
2021,2,2,154
2021,2,3,163
2021,2,4,162
2021,2,5,202
2021,2,6,233
2021,2,7,234
2021,2,8,161
2021,2,9,155
2021,2,10,163
2021,2,11,162
2021,2,12,200
2021,2,13,223
2021,2,14,197
2021,2,15,148
2021,2,16,153
2021,2,17,149
2021,2,18,162
2021,2,19,199
2021,2,20,193
2021,2,21,192
2021,2,22,167
2021,2,23,145
2021,2,24,138
2021,2,25,148
2021,2,26,183
2021,2,27,192
2021,2,28,177
2021,3,1,148
2021,3,2,134
2021,3,3,125
2021,3,4,147
2021,3,5,176
2021,3,6,209
2021,3,7,188
2021,3,8,149
2021,3,9,153
2021,3,10,155
2021,3,11,131
2021,3,12,186
2021,3,13,164
2021,3,14,164
2021,3,15,126
2021,3,16,120
2021,3,17,141
2021,3,18,121
2021,3,19,172
2021,3,20,172
2021,3,21,156
2021,3,22,120
2021,3,23,123
2021,3,24,140
2021,3,25,134
2021,3,26,169
2021,3,27,165
2021,3,28,155
2021,3,29,136
2021,3,30,154
2021,3,31,156
2021,4,1,194
2021,4,2,137
2021,4,3,156
2021,4,4,178
2021,4,5,155
2021,4,6,141
2021,4,7,132
2021,4,8,141
2021,4,9,168
2021,4,10,188
2021,4,11,179
2021,4,12,154
2021,4,13,136
2021,4,14,128
2021,4,15,157
2021,4,16,194
2021,4,17,178
2021,4,18,176
2021,4,19,185
2021,4,20,166
2021,4,21,146
2021,4,22,138
2021,4,23,157
2021,4,24,147
2021,4,25,171
2021,4,26,147
2021,4,27,132
2021,4,28,135
2021,4,29,140
2021,4,30,229
2021,5,1,205
2021,5,2,173
2021,5,3,153
2021,5,4,166
2021,5,5,153
2021,5,6,165
2021,5,7,228
2021,5,8,200
2021,5,9,237
2021,5,10,185
2021,5,11,150
2021,5,12,165
2021,5,13,146
2021,5,14,179
2021,5,15,201
2021,5,16,223
2021,5,17,156
2021,5,18,153
2021,5,19,145
2021,5,20,170
2021,5,21,197
2021,5,22,212
2021,5,23,204
2021,5,24,136
2021,5,25,137
2021,5,26,161
2021,5,27,154
2021,5,28,186
2021,5,29,215
2021,5,30,175
2021,5,31,177
2021,6,1,150
2021,6,2,183
2021,6,3,166
2021,6,4,165
2021,6,5,216
2021,6,6,200
2021,6,7,185
2021,6,8,177
2021,6,9,162
2021,6,10,156
2021,6,11,185
2021,6,12,204
2021,6,13,217
2021,6,14,170
2021,6,15,145
2021,6,16,120
2021,6,17,149
2021,6,18,202
2021,6,19,200
2021,6,20,213
2021,6,21,169
2021,6,22,132
2021,6,23,158
2021,6,24,177
2021,6,25,189
2021,6,26,214
2021,6,27,175
2021,6,28,162
2021,6,29,146
2021,6,30,145
2021,7,1,166
