ano,mes,dia,Acidentes
2023,11,6,185
2023,11,7,153
2023,11,8,175
2023,11,9,149
2023,11,10,197
2023,11,11,237
2023,11,12,231
2023,11,13,175
2023,11,14,184
2023,11,15,144
2023,11,16,145
2023,11,17,171
2023,11,18,193
2023,11,19,213
2023,11,20,178
2023,11,21,163
2023,11,22,158
2023,11,23,159
2023,11,24,185
2023,11,25,187
2023,11,26,185
2023,11,27,155
2023,11,28,174
2023,11,29,144
2023,11,30,162
2023,12,1,209
2023,12,2,216
2023,12,3,185
2023,12,4,204
2023,12,5,179
2023,12,6,174
2023,12,7,212
2023,12,8,208
2023,12,9,211
2023,12,10,233
2023,12,11,200
2023,12,12,162
2023,12,13,160
2023,12,14,193
2023,12,15,260
2023,12,16,261
2023,12,17,216
2023,12,18,206
2023,12,19,180
2023,12,20,215
2023,12,21,223
2023,12,22,264
2023,12,23,288
2023,12,24,183
2023,12,25,178
2023,12,26,179
2023,12,27,150
2023,12,28,178
2023,12,29,174
2023,12,30,198
2023,12,31,141
