ano,mes,Acidentes
2023,1,4997
2023,2,4480
2023,3,5291
2023,4,5337
2023,5,5332
2023,6,5412
2023,7,5672
2023,8,5311
2023,9,5361
2023,10,5474
2023,11,5285
2023,12,6240
