ano,mes,dia,Acidentes
2007,12,20,481
2007,12,21,673
2007,12,22,709
2007,12,23,504
2007,12,24,336
2007,12,25,384
2007,12,26,399
2007,12,27,370
2007,12,28,458
2007,12,29,463
2007,12,30,335
2007,12,31,207
2008,1,1,390
2008,1,2,421
2008,1,3,350
2008,1,4,359
2008,1,5,349
2008,1,6,445
2008,1,7,354
2008,1,8,291
2008,1,9,336
2008,1,10,335
2008,1,11,468
2008,1,12,481
2008,1,13,388
2008,1,14,386
2008,1,15,338
2008,1,16,314
2008,1,17,352
2008,1,18,433
2008,1,19,480
2008,1,20,458
2008,1,21,417
2008,1,22,321
2008,1,23,323
2008,1,24,333
2008,1,25,444
2008,1,26,360
2008,1,27,390
2008,1,28,399
2008,1,29,345
2008,1,30,398
2008,1,31,417
2008,2,1,516
2008,2,2,584
2008,2,3,360
2008,2,4,297
2008,2,5,295
2008,2,6,433
2008,2,7,336
2008,2,8,347
2008,2,9,284
2008,2,10,388
2008,2,11,324
2008,2,12,277
2008,2,13,287
2008,2,14,318
2008,2,15,405
2008,2,16,367
2008,2,17,396
2008,2,18,329
2008,2,19,272
2008,2,20,314
2008,2,21,335
2008,2,22,374
2008,2,23,366
2008,2,24,396
2008,2,25,365
2008,2,26,316
2008,2,27,334
2008,2,28,292
2008,2,29,465
2008,3,1,496
2008,3,2,363
2008,3,3,320
2008,3,4,267
2008,3,5,279
2008,3,6,334
2008,3,7,406
2008,3,8,422
2008,3,9,427
2008,3,10,332
2008,3,11,327
2008,3,12,372
2008,3,13,298
2008,3,14,482
2008,3,15,466
2008,3,16,347
2008,3,17,379
2008,3,18,332
2008,3,19,423
2008,3,20,536
2008,3,21,326
2008,3,22,271
2008,3,23,598
2008,3,24,394
2008,3,25,290
2008,3,26,291
2008,3,27,354
2008,3,28,381
2008,3,29,374
2008,3,30,356
2008,3,31,311
2008,4,1,318
2008,4,2,350
2008,4,3,348
2008,4,4,491
2008,4,5,486
2008,4,6,451
2008,4,7,369
2008,4,8,339
2008,4,9,336
2008,4,10,343
2008,4,11,439
2008,4,12,458
2008,4,13,417
2008,4,14,396
2008,4,15,321
2008,4,16,374
2008,4,17,366
2008,4,18,496
2008,4,19,547
2008,4,20,419
2008,4,21,434
2008,4,22,386
2008,4,23,330
2008,4,24,348
2008,4,25,384
2008,4,26,405
2008,4,27,328
2008,4,28,358
2008,4,29,375
2008,4,30,451
2008,5,1,386
2008,5,2,457
2008,5,3,312
2008,5,4,394
2008,5,5,332
2008,5,6,319
2008,5,7,340
2008,5,8,377
2008,5,9,452
2008,5,10,450
2008,5,11,456
2008,5,12,373
2008,5,13,349
2008,5,14,366
2008,5,15,349
2008,5,16,399
2008,5,17,422
2008,5,18,347
2008,5,19,348
2008,5,20,346
2008,5,21,463
2008,5,22,433
2008,5,23,338
2008,5,24,333
2008,5,25,377
2008,5,26,333
2008,5,27,299
2008,5,28,341
2008,5,29,364
2008,5,30,467
2008,5,31,391
2008,6,1,410
2008,6,2,282
2008,6,3,349
2008,6,4,323
2008,6,5,326
2008,6,6,410
2008,6,7,401
2008,6,8,391
2008,6,9,315
2008,6,10,332
2008,6,11,301
2008,6,12,376
2008,6,13,414
2008,6,14,406
2008,6,15,433
2008,6,16,352
2008,6,17,303
2008,6,18,329
2008,6,19,327
2008,6,20,445
2008,6,21,480
2008,6,22,375
2008,6,23,375
2008,6,24,327
2008,6,25,314
2008,6,26,372
2008,6,27,423
2008,6,28,370
2008,6,29,292
2008,6,30,301
2008,7,1,316
2008,7,2,294
2008,7,3,352
2008,7,4,450
2008,7,5,391
2008,7,6,328
2008,7,7,331
2008,7,8,287
2008,7,9,311
2008,7,10,334
2008,7,11,432
2008,7,12,407
2008,7,13,352
2008,7,14,356
2008,7,15,315
2008,7,16,354
2008,7,17,335
2008,7,18,436
2008,7,19,360
2008,7,20,366
2008,7,21,343
2008,7,22,322
2008,7,23,368
2008,7,24,344
2008,7,25,436
2008,7,26,380
2008,7,27,385
2008,7,28,356
2008,7,29,335
2008,7,30,289
2008,7,31,330
2008,8,1,404
2008,8,2,410
2008,8,3,396
2008,8,4,314
2008,8,5,363
2008,8,6,334
2008,8,7,414
2008,8,8,462
2008,8,9,401
2008,8,10,400
2008,8,11,353
2008,8,12,371
2008,8,13,334
2008,8,14,348
2008,8,15,450
2008,8,16,393
2008,8,17,350
2008,8,18,348
2008,8,19,287
2008,8,20,321
2008,8,21,321
2008,8,22,424
2008,8,23,424
2008,8,24,331
2008,8,25,335
2008,8,26,314
2008,8,27,336
2008,8,28,332
2008,8,29,404
2008,8,30,450
2008,8,31,339
2008,9,1,321
2008,9,2,337
2008,9,3,338
2008,9,4,344
2008,9,5,488
2008,9,6,469
2008,9,7,396
2008,9,8,435
2008,9,9,383
2008,9,10,330
2008,9,11,399
2008,9,12,465
2008,9,13,410
2008,9,14,421
2008,9,15,385
2008,9,16,405
2008,9,17,347
2008,9,18,377
2008,9,19,484
2008,9,20,490
2008,9,21,461
2008,9,22,332
2008,9,23,311
2008,9,24,344
2008,9,25,394
2008,9,26,580
2008,9,27,448
2008,9,28,370
2008,9,29,331
2008,9,30,338
2008,10,1,378
2008,10,2,429
2008,10,3,458
2008,10,4,533
2008,10,5,382
2008,10,6,392
2008,10,7,361
2008,10,8,383
2008,10,9,387
2008,10,10,424
2008,10,11,487
2008,10,12,409
2008,10,13,349
2008,10,14,350
2008,10,15,370
2008,10,16,369
2008,10,17,496
2008,10,18,489
2008,10,19,446
2008,10,20,385
2008,10,21,313
2008,10,22,316
2008,10,23,343
2008,10,24,397
2008,10,25,411
2008,10,26,360
2008,10,27,338
2008,10,28,362
2008,10,29,362
2008,10,30,355
2008,10,31,493
2008,11,1,389
2008,11,2,421
2008,11,3,374
2008,11,4,300
2008,11,5,336
2008,11,6,380
2008,11,7,507
2008,11,8,466
2008,11,9,401
2008,11,10,445
2008,11,11,362
2008,11,12,370
2008,11,13,416
2008,11,14,560
2008,11,15,414
2008,11,16,441
2008,11,17,387
2008,11,18,342
2008,11,19,345
2008,11,20,367
2008,11,21,476
2008,11,22,466
2008,11,23,377
2008,11,24,333
2008,11,25,322
2008,11,26,327
2008,11,27,407
2008,11,28,450
2008,11,29,498
2008,11,30,376
2008,12,1,374
2008,12,2,380
2008,12,3,363
2008,12,4,367
2008,12,5,444
2008,12,6,447
2008,12,7,391
2008,12,8,376
2008,12,9,408
2008,12,10,381
2008,12,11,440
2008,12,12,565
2008,12,13,506
2008,12,14,447
2008,12,15,541
2008,12,16,475
2008,12,17,435
2008,12,18,446
2008,12,19,549
2008,12,20,616
2008,12,21,493
2008,12,22,479
2008,12,23,565
2008,12,24,632
2008,12,25,406
2008,12,26,466
2008,12,27,423
2008,12,28,430
2008,12,29,324
2008,12,30,398
2008,12,31,472
2009,1,1,316
2009,1,2,448
2009,1,3,515
2009,1,4,519
2009,1,5,440
2009,1,6,310
2009,1,7,302
2009,1,8,313
2009,1,9,433
2009,1,10,433
2009,1,11,407
2009,1,12,396
2009,1,13,345
2009,1,14,344
2009,1,15,371
2009,1,16,501
2009,1,17,433
2009,1,18,427
2009,1,19,393
2009,1,20,387
2009,1,21,403
2009,1,22,364
2009,1,23,411
2009,1,24,373
2009,1,25,401
2009,1,26,446
2009,1,27,354
2009,1,28,386
2009,1,29,342
2009,1,30,429
2009,1,31,381
2009,2,1,401
2009,2,2,382
2009,2,3,388
2009,2,4,322
2009,2,5,372
2009,2,6,433
2009,2,7,434
2009,2,8,448
2009,2,9,374
2009,2,10,393
2009,2,11,377
2009,2,12,388
2009,2,13,482
2009,2,14,459
2009,2,15,372
2009,2,16,432
2009,2,17,343
2009,2,18,315
2009,2,19,425
2009,2,20,648
2009,2,21,765
2009,2,22,413
2009,2,23,319
2009,2,24,401
2009,2,25,460
2009,2,26,361
2009,2,27,368
2009,2,28,327
2009,3,1,320
2009,3,2,346
2009,3,3,308
2009,3,4,356
2009,3,5,339
2009,3,6,458
2009,3,7,434
2009,3,8,418
2009,3,9,391
2009,3,10,368
2009,3,11,337
2009,3,12,303
2009,3,13,462
2009,3,14,373
2009,3,15,438
2009,3,16,396
2009,3,17,389
2009,3,18,347
2009,3,19,328
2009,3,20,372
2009,3,21,408
2009,3,22,407
2009,3,23,380
2009,3,24,375
2009,3,25,357
2009,3,26,375
2009,3,27,452
2009,3,28,488
2009,3,29,390
2009,3,30,348
2009,3,31,393
2009,4,1,334
2009,4,2,400
2009,4,3,449
2009,4,4,432
2009,4,5,394
2009,4,6,428
2009,4,7,370
2009,4,8,484
2009,4,9,605
2009,4,10,384
2009,4,11,316
2009,4,12,638
2009,4,13,464
2009,4,14,351
2009,4,15,355
2009,4,16,333
2009,4,17,454
2009,4,18,411
2009,4,19,326
2009,4,20,353
2009,4,21,399
2009,4,22,479
2009,4,23,337
2009,4,24,406
2009,4,25,308
2009,4,26,286
2009,4,27,343
2009,4,28,316
2009,4,29,360
2009,4,30,499
2009,5,1,611
2009,5,2,349
2009,5,3,407
2009,5,4,364
2009,5,5,349
2009,5,6,348
2009,5,7,374
2009,5,8,536
2009,5,9,466
2009,5,10,448
2009,5,11,407
2009,5,12,350
2009,5,13,338
2009,5,14,395
2009,5,15,514
2009,5,16,403
2009,5,17,366
2009,5,18,355
2009,5,19,347
2009,5,20,368
2009,5,21,391
2009,5,22,506
2009,5,23,410
2009,5,24,406
2009,5,25,487
2009,5,26,399
2009,5,27,379
2009,5,28,402
2009,5,29,470
2009,5,30,477
2009,5,31,460
2009,6,1,418
2009,6,2,358
2009,6,3,396
2009,6,4,406
2009,6,5,509
2009,6,6,483
2009,6,7,415
2009,6,8,404
2009,6,9,398
2009,6,10,554
2009,6,11,459
2009,6,12,466
2009,6,13,412
2009,6,14,458
2009,6,15,411
2009,6,16,449
2009,6,17,374
2009,6,18,345
2009,6,19,483
2009,6,20,452
2009,6,21,368
2009,6,22,400
2009,6,23,374
2009,6,24,379
2009,6,25,471
2009,6,26,539
2009,6,27,476
2009,6,28,388
2009,6,29,383
2009,6,30,377
2009,7,1,356
2009,7,2,366
2009,7,3,525
2009,7,4,492
2009,7,5,463
2009,7,6,420
2009,7,7,409
2009,7,8,370
2009,7,9,471
2009,7,10,592
2009,7,11,533
2009,7,12,460
2009,7,13,377
2009,7,14,360
2009,7,15,418
2009,7,16,425
2009,7,17,508
2009,7,18,488
2009,7,19,453
2009,7,20,402
2009,7,21,360
2009,7,22,397
2009,7,23,435
2009,7,24,565
2009,7,25,513
2009,7,26,441
2009,7,27,413
2009,7,28,400
2009,7,29,388
2009,7,30,389
2009,7,31,459
2009,8,1,461
2009,8,2,417
2009,8,3,344
2009,8,4,347
2009,8,5,368
2009,8,6,406
2009,8,7,478
2009,8,8,464
2009,8,9,490
2009,8,10,358
2009,8,11,402
2009,8,12,345
2009,8,13,415
2009,8,14,452
2009,8,15,471
2009,8,16,418
2009,8,17,441
2009,8,18,414
2009,8,19,412
2009,8,20,453
2009,8,21,464
2009,8,22,437
2009,8,23,450
2009,8,24,445
2009,8,25,411
2009,8,26,411
2009,8,27,426
2009,8,28,443
2009,8,29,400
2009,8,30,390
2009,8,31,371
2009,9,1,352
2009,9,2,413
2009,9,3,462
2009,9,4,677
2009,9,5,679
2009,9,6,530
2009,9,7,626
2009,9,8,535
2009,9,9,429
2009,9,10,356
2009,9,11,478
2009,9,12,432
2009,9,13,355
2009,9,14,412
2009,9,15,373
2009,9,16,366
2009,9,17,326
