ano,mes,Acidentes
2020,1,5417
2020,2,5399
2020,3,4713
2020,4,3816
2020,5,4589
2020,6,4662
2020,7,5036
2020,8,5561
2020,9,5599
2020,10,6047
2020,11,5666
2020,12,6098
2021,1,5383
2021,2,4911
2021,3,4689
2021,4,4785
2021,5,5507
2021,6,5232
2021,7,5712
2021,8,5530
2021,9,5352
2021,10,5696
2021,11,5027
2021,12,5757
2022,1,4971
2022,2,4786
2022,3,5078
2022,4,5239
2022,5,5315
2022,6,5016
2022,7,5564
2022,8,5499
2022,9,5441
2022,10,5687
2022,11,5164
2022,12,5743
